id,170_10,170_13,170_16,170_19
13285627,0.24,0.38,0.32,0.02
5129534,0.57,0.64,0.57,0.35
6109677,0.34,0.48,0.46,0.24
9076150,0.3,0.44,0.36,0.13
9081847,0.3,0.51,0.35,0.01
9093702,0.64,0.61,0.5,0.39
9175891,0.42,0.57,0.4,0.02
1000423483,0.92,1.0,1.0,0.76
1000423484,0.65,0.96,0.96,0.71
1000423485,0.82,0.95,0.92,0.63
1000423486,1.0,1.0,1.0,0.53
1000423487,1.0,1.0,0.99,0.87
1000423488,0.63,0.83,0.82,0.45
1000423489,0.98,0.98,0.98,0.93
1000423490,0.0,0.21,0.79,0.46
1000423491,0.0,0.22,0.79,0.27
1000423492,0.0,0.37,0.8,0.17
1000423493,0.67,0.91,0.87,0.41
1000423494,0.65,1.0,1.0,1.0
1000424030,0.55,0.99,0.99,0.73
1000428148,0.85,0.89,0.98,1.0
1000428628,0.51,0.62,0.8,0.35
1000428822,0.43,0.5,0.5,0.55
1000429499,0.7,0.81,0.84,0.3
1000429740,1.0,1.0,1.0,1.0
1000430909,0.29,0.48,0.46,0.0
1000430910,0.16,0.63,0.57,0.03
100143657,0.31,0.47,0.61,0.21
100143658,0.25,0.18,0.12,0.19
100143661,0.43,0.66,0.39,0.31
100143663,0.81,0.9,0.9,0.87
100144263,0.65,0.71,0.67,0.14
100144264,0.59,0.62,0.54,0.35
1002264447,0.84,0.7,0.48,0.17
100291668,0.75,0.63,0.29,0.09
100291672,0.5,0.7,0.61,0.34
100311594,0.45,0.68,0.59,0.43
1004003710,0.61,0.73,0.7,0.52
1004003711,0.39,0.6,0.69,0.3
1004003712,0.79,0.79,0.76,0.59
1004003713,0.99,0.96,0.97,0.88
1004009449,0.69,0.71,0.67,0.61
1004659564,1.0,1.0,1.0,1.0
1004660638,0.56,0.58,1.0,0.59
100609891,0.02,0.02,0.02,0.0
100609894,0.0,0.0,0.04,0.05
100609895,0.0,0.0,0.0,0.0
100609896,0.09,0.07,0.05,0.03
1006633511,0.45,0.88,0.69,0.15
1007187432,0.74,0.8,0.94,0.43
1007187433,0.59,0.67,0.67,0.57
1007569160,0.1,0.9,0.91,0.91
1007569161,0.03,0.61,0.62,0.36
1007569933,0.03,0.09,0.05,0.0
1007574766,0.0,0.39,0.67,0.36
1008096059,0.81,0.92,0.33,0.0
1008096061,0.52,0.79,0.67,0.21
1008096062,0.99,0.95,0.99,0.7
1008096063,1.0,1.0,1.0,1.0
1008122119,0.12,0.32,0.14,0.0
1008122912,0.0,0.0,0.0,0.0
1008123107,0.0,0.0,0.0,0.0
1008124646,0.0,0.03,0.03,0.0
1008124719,0.0,0.0,0.0,0.0
1008126179,0.92,0.92,0.67,0.3
1008126632,0.98,0.88,1.0,0.0
1008639457,0.0,0.0,0.0,0.0
1008643407,0.7,0.5,0.64,0.68
1010848512,0.39,0.61,0.64,0.64
1010906734,0.37,0.56,0.56,0.4
1010906746,0.38,0.42,0.41,0.06
1010906747,0.2,0.26,0.16,0.01
1010906748,0.14,0.21,0.15,0.04
1011045364,0.98,0.91,0.86,0.8
1011045365,0.57,0.97,0.83,0.4
1011045377,1.0,1.0,1.0,0.97
1011045379,0.64,0.63,0.6,0.08
1011045380,0.56,0.71,0.6,0.0
1011255163,0.61,0.85,0.88,0.88
1011255164,0.91,1.0,1.0,1.0
1011255165,0.41,0.81,0.88,0.88
1011299238,1.0,1.0,1.0,1.0
1011299240,0.94,0.94,0.94,0.84
1011305487,1.0,1.0,1.0,1.0
1011317551,1.0,1.0,1.0,1.0
10132136,0.69,0.77,0.76,0.61
10133540,0.75,0.75,0.68,0.34
10133541,0.72,0.85,0.83,0.68
10133543,0.76,0.92,0.92,0.7
1014377710,0.73,0.78,0.76,0.62
1015035312,0.17,0.42,0.39,0.0
1015249123,0.13,0.86,0.76,0.18
1016584709,1.0,1.0,1.0,1.0
1016595095,0.0,0.02,0.0,0.0
1016595096,0.01,0.1,0.09,0.0
1016595098,0.05,0.0,0.0,0.0
1017586025,0.85,0.84,0.85,0.59
1018544010,0.99,0.97,0.65,0.67
1019551611,0.62,0.77,0.74,0.56
1021419345,0.96,0.9,0.98,0.0
1022249470,1.0,0.99,1.0,0.07
1023916544,0.35,0.33,0.13,0.0
1024388503,0.63,0.5,0.52,0.38
1026425610,0.42,0.67,0.64,0.5
1030029631,0.71,0.9,0.86,0.57
1030369229,0.22,0.26,0.09,0.0
1030369539,0.6,0.89,0.83,0.32
1030456938,0.44,0.66,0.38,0.0
1030456942,0.03,0.3,0.02,0.0
1030456950,0.45,0.55,0.51,0.32
1030456956,0.52,0.15,0.04,0.02
1030456957,0.6,0.81,0.67,0.58
1030456958,0.9,0.91,0.79,0.38
1030456963,0.21,0.28,0.26,0.06
1030456965,0.54,0.78,0.54,0.44
1030456966,0.94,0.96,0.96,0.91
1030456968,0.71,0.92,0.9,0.0
1030456970,0.51,0.58,0.56,0.38
1030456971,0.47,0.74,0.86,0.77
1030457199,1.0,1.0,1.0,0.87
1030457291,0.16,0.52,0.48,0.3
1030457292,0.0,0.24,0.0,0.0
1030457293,0.27,0.58,0.36,0.1
1030457346,0.38,0.42,0.33,0.32
1030457348,0.79,0.93,0.82,0.42
1030457511,0.53,0.96,0.42,0.0
1030457513,0.98,1.0,0.94,0.92
1030457525,0.38,0.85,0.29,0.5
1030457526,0.92,0.92,0.78,0.42
1030504054,0.73,0.97,0.95,0.79
1030663466,0.03,0.41,0.03,0.0
103078887,0.99,0.99,0.99,0.99
103078891,0.91,0.94,0.95,0.91
103078896,0.85,0.89,0.87,0.83
1031819202,0.98,1.0,1.0,0.82
1033054424,1.0,1.0,1.0,0.98
1033054425,0.83,0.92,0.92,0.85
1033054426,0.88,0.91,0.91,0.86
1033056225,1.0,1.0,1.0,0.99
1034124030,0.95,0.95,0.81,0.22
1034525200,0.15,0.02,0.01,0.02
103482698,0.41,0.4,0.47,0.07
103482701,0.49,0.59,0.51,0.05
1036619796,0.67,0.8,0.79,0.62
1036619797,1.0,1.0,1.0,0.8
1037512558,0.71,0.56,0.29,0.11
103830086,0.99,0.99,0.99,0.98
1038670488,0.19,0.37,0.11,0.03
1040069763,0.3,0.26,0.0,0.0
1040328594,1.0,1.0,1.0,0.93
1040328595,1.0,1.0,0.9,0.65
1040341614,0.21,0.19,0.0,0.0
1040341615,0.98,1.0,1.0,0.7
1040341616,0.74,0.79,0.49,0.0
1040341617,0.62,0.78,0.29,0.03
1040704209,1.0,1.0,1.0,1.0
1040972974,1.0,1.0,0.94,0.21
1040972975,0.9,0.83,0.44,0.05
1043108758,0.12,0.3,0.32,0.32
1043430573,0.27,0.29,0.44,0.06
1043514095,0.58,0.78,0.78,0.35
1043514096,0.59,0.74,0.74,0.52
1043514135,0.63,0.85,0.83,0.1
1043514136,0.71,0.9,0.9,0.88
1043514150,0.31,0.59,0.52,0.22
1043514151,0.59,0.71,0.61,0.29
1043518293,0.74,0.83,0.81,0.66
1043518294,0.58,0.69,0.66,0.49
1043518295,0.83,0.93,0.88,0.25
1043518296,0.14,0.45,0.35,0.12
1043518297,0.6,0.67,0.56,0.31
1043518298,0.23,0.33,0.11,0.04
1043518299,0.56,0.56,0.49,0.38
1043518300,0.78,0.77,0.71,0.55
1043518301,0.51,0.63,0.62,0.45
1043518302,0.47,0.5,0.46,0.37
1043520052,0.39,0.71,0.48,0.07
1043708240,0.89,0.85,0.79,0.38
1043708244,0.42,0.6,0.7,0.66
1043708253,0.47,0.57,0.57,0.48
1043708254,0.48,0.57,0.48,0.23
1043708260,0.65,0.83,0.87,0.87
1043819874,0.27,0.74,0.57,0.14
1043819875,0.67,0.72,0.67,0.0
1043819879,0.6,0.76,0.47,0.0
1043819880,0.05,0.27,0.0,0.0
1043819881,0.3,0.54,0.22,0.0
1043819882,0.0,0.58,0.55,0.0
1043819884,0.36,0.47,0.24,0.03
1043819885,0.0,0.7,0.32,0.0
1043819886,0.0,0.44,0.25,0.0
1043819887,0.0,0.12,0.29,0.0
1043819888,0.0,0.28,0.3,0.0
1043819893,0.28,0.31,0.29,0.22
1043819894,0.47,0.63,0.54,0.04
1043819895,0.51,0.72,0.56,0.06
1043819907,0.0,0.0,0.0,0.0
1043819908,0.0,0.0,0.0,0.0
1043819926,0.06,0.11,0.01,0.0
1043819929,0.54,0.98,0.86,0.17
1043819947,0.89,0.71,0.29,0.0
1043819948,0.74,0.67,0.42,0.0
1043819949,0.51,0.5,0.29,0.0
1043819950,0.34,0.08,0.21,0.05
1043819951,0.2,0.0,0.31,0.0
1043819952,0.82,0.82,0.24,0.0
1043819953,0.74,0.67,0.37,0.0
1043819954,0.85,0.65,0.18,0.0
1043819955,0.86,0.64,0.07,0.0
1043819956,0.81,0.49,0.0,0.0
1043852035,0.89,0.88,0.82,0.38
1043852036,1.0,1.0,1.0,0.38
1043852037,1.0,1.0,0.86,0.32
1043854239,0.55,0.0,0.27,0.0
1043854240,0.63,0.37,0.27,0.03
1043859493,0.98,0.73,0.15,0.0
1043859494,0.62,0.19,0.0,0.0
1043859495,0.8,1.0,1.0,0.85
1043859496,0.84,0.88,0.66,0.09
1044078718,1.0,1.0,0.66,0.24
1044250664,0.38,0.81,0.94,0.42
1044250665,0.77,0.87,0.66,0.08
1044250666,0.01,0.64,0.7,0.17
1044250682,0.32,0.62,0.09,0.02
1044250689,0.25,0.67,0.49,0.17
1044250710,0.43,0.53,0.39,0.08
1044250711,0.43,0.56,0.24,0.0
1044262863,0.42,0.43,0.28,0.03
1044262864,0.26,0.32,0.31,0.31
1044262867,0.16,0.75,0.57,0.11
1044360621,0.13,0.23,0.2,0.05
1044469417,0.46,0.18,0.34,0.54
1044470552,0.66,0.86,0.89,0.17
1044470553,0.35,0.61,0.46,0.0
1044470554,0.2,0.09,0.22,0.0
1044471427,0.64,0.75,0.19,0.0
1044471428,0.84,0.89,0.75,0.07
1044471429,0.85,0.89,0.85,0.39
1044486202,0.5,0.82,0.79,0.37
1044492059,0.71,0.87,0.73,0.33
1044492063,0.0,0.25,0.08,0.09
1044492064,0.01,0.25,0.14,0.22
1046115799,0.01,0.05,0.2,0.01
1046115853,0.81,0.94,0.98,0.85
1046115854,0.99,1.0,1.0,0.87
1046115855,1.0,1.0,1.0,0.86
1046115856,0.86,0.86,0.86,0.43
1046124099,1.0,1.0,1.0,0.93
1046124100,1.0,1.0,1.0,0.0
1046124101,0.0,0.44,0.42,0.39
1046124102,0.99,0.99,0.99,0.78
1046124103,0.18,0.91,0.82,0.92
1046124104,0.42,0.51,0.44,0.27
1046124105,0.2,0.36,0.39,0.24
1046124106,0.81,1.0,1.0,0.96
1046124107,0.74,1.0,1.0,1.0
1046124108,0.89,1.0,1.0,1.0
1046124109,0.74,0.66,0.62,0.63
1046124110,0.73,0.85,0.79,0.81
1046124111,1.0,1.0,1.0,0.08
1046124112,0.99,0.98,0.81,0.22
1046124113,1.0,1.0,0.99,0.06
1046124114,0.91,1.0,1.0,0.94
1046124121,0.22,0.23,0.08,0.13
1046124124,0.84,0.87,0.86,0.79
1046126810,0.05,0.22,0.1,0.04
1046126811,0.0,0.37,0.53,0.11
1046777312,0.44,0.85,0.68,0.0
1046777339,0.18,0.22,0.22,0.07
1046777340,0.17,0.1,0.0,0.0
1046777341,0.0,0.0,0.0,0.0
1046777342,0.32,0.58,0.39,0.04
1046777346,0.47,0.71,0.57,0.0
1046777347,0.0,0.0,0.0,0.0
1046777354,0.49,0.71,0.71,0.34
1046777360,0.31,0.46,0.47,0.05
1046777361,0.27,0.49,0.17,0.32
1046777362,0.39,0.16,0.66,0.11
1046777366,0.3,0.44,0.3,0.04
1046777369,0.0,0.0,0.0,0.0
1046777370,0.76,0.79,0.8,0.37
1046777371,0.21,0.15,0.18,0.12
1046802753,0.39,0.63,0.53,0.35
1046802756,0.78,0.83,0.8,0.52
1046802757,0.67,0.89,0.83,0.36
1046802758,0.15,0.44,0.26,0.0
105050679,0.52,0.68,0.77,0.77
105050680,0.21,0.54,0.53,0.42
1050732235,0.19,0.59,0.39,0.0
1050732239,0.04,0.2,0.08,0.0
1052692199,0.08,0.12,0.1,0.15
1053317999,0.42,0.56,0.32,0.0
1053580994,0.67,0.82,0.76,0.64
1053987286,0.21,0.21,0.17,0.0
1053987287,0.2,0.25,0.16,0.0
1054670584,0.43,0.64,0.51,0.14
1054670586,0.65,0.82,0.76,0.38
1054670587,0.03,0.42,0.54,0.21
105500404,0.0,0.12,0.04,0.0
1055137786,0.92,0.99,0.85,0.87
1055137788,0.22,0.27,0.16,0.01
1055137789,0.36,0.43,0.32,0.01
1055143014,0.58,0.69,0.67,0.35
1055326326,0.0,0.67,0.64,0.0
1055628911,0.28,0.7,0.49,0.22
1055628912,0.0,0.0,0.0,0.0
1055628914,0.37,0.49,0.45,0.36
1055628917,0.59,0.8,0.86,0.41
1055628918,0.46,0.52,0.36,0.2
1055938620,1.0,1.0,1.0,0.6
1056835642,0.19,0.39,0.2,0.03
1057584468,0.67,0.92,0.85,0.33
1057588094,0.0,0.12,0.04,0.0
1058101509,0.93,0.98,0.94,0.14
1058298077,0.66,0.87,0.83,0.39
1058298078,0.48,0.75,0.77,0.41
1058298079,0.61,0.97,0.99,0.84
1058298086,0.81,0.91,0.74,0.26
1058308950,0.73,0.87,0.75,0.36
1058903911,0.42,0.64,0.71,0.51
1058903912,0.6,0.72,0.7,0.65
1058903913,0.7,0.71,0.6,0.42
1058903914,0.41,0.47,0.39,0.08
1058903915,0.19,0.43,0.3,0.0
1058903916,0.33,0.58,0.49,0.17
1058903917,0.15,0.22,0.04,0.0
1058903918,0.26,0.76,0.47,0.61
1058903919,0.42,0.53,0.46,0.02
1058903920,0.28,0.45,0.46,0.39
1058903921,0.38,0.57,0.33,0.03
1058904010,0.55,0.72,0.11,0.0
1058904011,0.52,0.55,0.0,0.0
1058904014,0.48,0.77,0.77,0.11
1058904015,0.88,0.87,0.95,0.56
1058904073,0.6,0.6,0.0,0.0
1058904074,0.52,0.52,0.0,0.0
1058909154,0.03,0.07,0.04,0.01
1058909155,0.5,0.49,0.24,0.0
1059030035,0.94,0.95,0.94,0.85
1059032694,0.93,0.93,0.9,0.57
1059797857,0.92,0.92,0.6,0.0
1059797858,0.66,0.66,0.28,0.0
1061289883,0.21,0.17,0.18,0.02
1061293974,0.47,0.57,0.56,0.09
1061293975,1.0,1.0,1.0,0.96
1061297485,0.42,0.47,0.26,0.0
1061472212,1.0,1.0,0.37,0.0
1061472215,0.48,0.59,0.48,0.02
1061482167,0.11,0.14,0.12,0.03
1061482168,0.69,0.81,0.87,0.59
1061738015,0.88,0.88,0.88,0.74
1061738016,0.83,0.82,0.82,0.78
1061738018,0.92,0.89,0.85,0.63
1061738019,0.75,0.66,0.45,0.68
1061738020,0.16,0.3,0.09,0.03
1061738022,0.98,0.98,0.98,0.68
1061738023,0.37,0.65,0.6,0.35
1061738024,1.0,1.0,1.0,0.86
1061738025,0.95,0.95,0.95,0.73
1061738026,0.95,0.95,0.83,0.4
1061738027,0.01,0.27,0.39,0.2
1061738028,0.84,0.88,0.88,0.35
1061738029,0.85,0.85,0.85,0.59
1061738031,0.56,0.6,0.45,0.05
1061738033,0.17,0.52,0.42,0.11
106525481,0.17,0.29,0.2,0.03
106525482,0.45,0.53,0.51,0.35
106525483,0.75,0.76,0.69,0.29
106525488,0.82,0.86,0.85,0.73
106525489,0.49,0.72,0.71,0.32
106525490,0.06,0.65,0.34,0.0
106621595,0.01,0.24,0.29,0.12
106621597,0.11,0.2,0.24,0.07
106621704,0.18,0.45,0.43,0.04
106621755,0.41,0.49,0.33,0.0
106625521,0.97,0.98,0.97,0.93
