id,morning,noon,afternoon,evening
1000009650,0.694,0.957,0.934,0.211
1000283239,0.166,0.617,0.17,0.056
1000810280,0.0,0.09,0.023,0.0
1000810283,0.434,0.586,0.542,0.187
1000930345,0.246,0.468,0.433,0.0
1000930346,0.269,0.607,0.446,0.0
1001099460,0.295,0.769,0.817,0.203
1001342081,0.607,0.745,0.681,0.092
1002102105,0.037,0.293,0.134,0.0
1002103709,0.405,0.401,0.315,0.233
1002551732,0.304,0.476,0.464,0.054
1002641846,0.484,0.497,0.05,0.0
1002651579,0.695,0.931,0.936,0.12
1002993069,0.443,0.53,0.368,0.008
1003002406,,,,
1003005402,0.388,0.552,0.758,0.471
1003010966,0.397,1.0,0.979,0.0
1003010967,0.007,0.441,0.632,0.421
100305858,0.933,0.965,0.871,0.418
1003178188,0.354,0.531,0.332,0.135
1003512555,0.208,0.282,0.279,0.205
1003923154,0.018,0.474,0.0,0.035
1004003730,0.0,0.25,0.0,0.0
1004271305,0.13,0.59,0.14,0.035
1004271306,0.557,0.859,0.703,0.255
1004271307,0.272,0.799,0.775,0.396
1004281042,0.584,0.771,0.765,0.211
1004281043,0.022,0.795,0.762,0.659
1004281044,0.284,0.422,0.177,0.048
1004285596,0.559,0.827,0.504,0.141
1004309023,0.078,0.462,0.216,0.057
1004326666,0.827,0.965,0.981,0.205
1004326667,1.0,1.0,1.0,0.312
1004326668,0.548,0.323,0.903,0.919
1004326672,0.221,0.0,0.523,0.397
1004337180,0.928,0.872,0.744,0.478
1004337182,0.64,0.64,0.39,0.122
1004338484,0.831,0.725,0.515,0.337
1004338485,0.834,0.633,0.384,0.057
1004338486,0.538,0.361,0.109,0.0
1004338487,0.488,0.772,0.425,0.071
1004338488,0.737,0.316,0.021,0.011
1004338489,0.319,0.788,0.387,0.062
1004350992,0.489,0.876,0.832,0.401
1004350994,0.549,0.805,0.389,0.186
1004352557,0.611,0.861,0.781,0.231
1004352558,0.829,0.996,0.996,0.226
1004352559,0.788,0.981,0.573,0.283
1004352560,0.75,0.814,0.782,0.112
1004355821,0.344,0.344,0.393,0.0
1004440465,0.765,0.913,0.836,0.668
1004443045,0.254,0.577,0.667,0.189
1004448891,0.648,0.957,0.791,0.004
1004448892,0.704,0.938,0.732,0.043
1004448895,0.402,0.533,0.636,0.072
1004451568,1.0,0.748,0.433,0.015
1004453031,0.783,0.96,0.867,0.34
1004454954,0.458,0.506,0.447,0.449
1004454955,0.294,0.778,0.627,0.0
1004456344,0.833,0.924,0.871,0.023
1004456732,0.396,0.655,0.608,0.004
1004456733,0.634,0.803,0.768,0.235
1004456735,0.7,0.852,0.845,0.362
1004456744,0.557,0.611,0.611,0.449
1004456745,0.612,0.684,0.622,0.337
1004456920,0.682,0.607,0.516,0.475
1004456922,0.543,0.786,0.73,0.149
1004668555,0.271,0.464,0.581,0.182
1004668556,0.434,0.53,0.42,0.02
1004668557,0.33,0.772,0.665,0.118
1004668558,0.14,0.581,0.552,0.006
1004669575,0.304,0.708,0.631,0.077
1004669576,0.23,0.562,0.415,0.006
1004669974,0.283,0.403,0.343,0.064
1004669977,0.249,0.431,0.494,0.023
1004669978,0.264,0.318,0.306,0.0
1004670974,0.138,0.56,0.569,0.009
1004671825,0.344,0.43,0.394,0.008
1004672860,0.256,0.818,0.448,0.059
1004672861,0.467,0.748,0.351,0.176
1004678254,0.221,0.635,0.434,0.07
1004678268,0.283,0.592,0.421,0.097
1004678270,0.327,0.487,0.47,0.309
1004686062,0.459,0.566,0.437,0.036
1004686063,0.267,0.551,0.532,0.113
1004690463,0.486,0.578,0.371,0.073
1004690464,0.664,0.879,0.909,0.436
1004690465,0.596,0.83,0.825,0.175
1004690466,0.237,0.539,0.569,0.095
1004690468,0.937,0.946,0.913,0.714
1004694688,0.642,0.808,0.745,0.349
1004694689,0.074,0.156,0.374,0.0
1004694693,0.408,0.831,0.77,0.418
1004694694,0.244,0.467,0.328,0.058
1004694696,0.441,0.658,0.53,0.089
1004694699,0.457,0.608,0.535,0.073
1004694701,0.233,0.391,0.261,0.045
1004694703,0.422,0.346,0.179,0.0
1004694704,0.592,0.753,0.73,0.0
1004694707,0.37,0.628,0.442,0.008
1004694709,0.441,0.446,0.393,0.131
1004694710,0.187,0.266,0.183,0.008
1004694711,0.476,0.617,0.362,0.0
1004694872,0.411,0.417,0.438,0.036
1004707334,0.496,0.695,0.676,0.344
1004707342,0.1,0.322,0.434,0.0
1004707345,0.217,0.409,0.331,0.0
1004707350,0.423,0.493,0.554,0.0
1004707351,0.429,0.633,0.333,0.0
1004707353,0.226,0.441,0.554,0.036
1004707355,0.236,0.39,0.437,0.0
1004707357,0.419,0.444,0.376,0.0
1004707361,0.229,0.323,0.309,0.004
1004707367,0.161,0.342,0.492,0.0
1004708438,0.173,0.414,0.481,0.017
1004708441,0.293,0.785,0.713,0.0
1004708442,0.574,0.934,0.737,0.0
1004708443,0.482,0.839,0.707,0.048
1004708445,0.239,0.568,0.394,0.038
1004708447,0.261,0.422,0.194,0.044
1004708448,0.342,0.386,0.178,0.0
1004708451,0.109,0.328,0.284,0.0
1004708452,0.22,0.452,0.28,0.0
1004708456,0.283,0.295,0.142,0.0
1004708458,0.414,0.355,0.242,0.038
1004708460,0.462,0.53,0.386,0.038
1004708908,0.305,0.494,0.278,0.12
1004708910,0.186,0.391,0.298,0.099
1004708911,0.238,0.664,0.39,0.193
1004711509,0.133,0.99,0.523,0.197
1004711510,0.425,0.295,0.085,0.083
1004711511,0.79,0.91,0.891,0.348
1004711512,0.07,0.277,0.226,0.152
1004711513,0.738,0.718,0.61,0.366
1004711514,0.661,0.913,0.74,0.313
1004714109,0.275,0.489,0.549,0.046
1004714112,0.297,0.642,0.415,0.0
1004714113,0.315,0.519,0.637,0.122
1004714115,0.28,0.524,0.39,0.0
1004714116,0.193,0.429,0.415,0.232
1004714118,0.307,0.531,0.349,0.191
1004714120,0.191,0.584,0.553,0.366
1004714121,0.583,0.626,0.263,0.113
1004714122,0.706,0.822,0.736,0.0
1004714125,0.22,0.517,0.396,0.17
1004714126,0.453,0.75,0.552,0.24
1004714127,0.467,0.434,0.495,0.033
1004714131,0.391,0.655,0.819,0.164
1004714133,0.538,0.602,0.339,0.117
1004714134,0.398,0.402,0.274,0.0
1004714136,0.366,0.649,0.485,0.0
1004714137,0.447,0.534,0.329,0.0
1004714140,0.39,0.525,0.458,0.0
1004714146,0.374,0.809,0.245,0.121
1004716670,0.399,0.497,0.601,0.314
1004716671,0.379,0.702,0.821,0.453
1004716672,0.23,0.501,0.362,0.017
1004716674,0.325,0.485,0.335,0.084
